,date,visitsTumblr
1,1/1/11,0
2,1/2/11,0
3,1/3/11,0
4,1/4/11,0
5,1/5/11,0
6,1/6/11,0
7,1/7/11,0
8,1/8/11,0
9,1/9/11,0
10,1/10/11,0
11,1/11/11,0
12,1/12/11,0
13,1/13/11,0
14,1/14/11,0
15,1/15/11,0
16,1/16/11,0
17,1/17/11,0
18,1/18/11,0
19,1/19/11,0
20,1/20/11,0
21,1/21/11,0
22,1/22/11,0
23,1/23/11,0
24,1/24/11,0
25,1/25/11,0
26,1/26/11,0
27,1/27/11,0
28,1/28/11,0
29,1/29/11,0
30,1/30/11,0
31,1/31/11,0
32,2/1/11,0
33,2/2/11,0
34,2/3/11,0
35,2/4/11,0
36,2/5/11,0
37,2/6/11,0
38,2/7/11,0
39,2/8/11,0
40,2/9/11,0
41,2/10/11,0
42,2/11/11,0
43,2/12/11,0
44,2/13/11,0
45,2/14/11,0
46,2/15/11,0
47,2/16/11,0
48,2/17/11,0
49,2/18/11,0
50,2/19/11,0
51,2/20/11,0
52,2/21/11,0
53,2/22/11,0
54,2/23/11,0
55,2/24/11,0
56,2/25/11,0
57,2/26/11,0
58,2/27/11,0
59,2/28/11,0
60,3/1/11,0
61,3/2/11,0
62,3/3/11,0
63,3/4/11,0
64,3/5/11,0
65,3/6/11,0
66,3/7/11,0
67,3/8/11,0
68,3/9/11,0
69,3/10/11,0
70,3/11/11,0
71,3/12/11,0
72,3/13/11,0
73,3/14/11,0
74,3/15/11,0
75,3/16/11,0
76,3/17/11,0
77,3/18/11,0
78,3/19/11,0
79,3/20/11,0
80,3/21/11,0
81,3/22/11,0
82,3/23/11,0
83,3/24/11,0
84,3/25/11,0
85,3/26/11,0
86,3/27/11,0
87,3/28/11,0
88,3/29/11,0
89,3/30/11,0
90,3/31/11,0
91,4/1/11,0
92,4/2/11,0
93,4/3/11,0
94,4/4/11,0
95,4/5/11,0
96,4/6/11,0
97,4/7/11,0
98,4/8/11,0
99,4/9/11,0
100,4/10/11,0
101,4/11/11,0
102,4/12/11,0
103,4/13/11,0
104,4/14/11,0
105,4/15/11,0
106,4/16/11,0
107,4/17/11,0
108,4/18/11,0
109,4/19/11,0
110,4/20/11,0
111,4/21/11,0
112,4/22/11,0
113,4/23/11,0
114,4/24/11,0
115,4/25/11,0
116,4/26/11,0
117,4/27/11,0
118,4/28/11,0
119,4/29/11,0
120,4/30/11,0
121,5/1/11,0
122,5/2/11,0
123,5/3/11,0
124,5/4/11,0
125,5/5/11,0
126,5/6/11,0
127,5/7/11,0
128,5/8/11,0
129,5/9/11,0
130,5/10/11,0
131,5/11/11,0
132,5/12/11,0
133,5/13/11,0
134,5/14/11,0
135,5/15/11,0
136,5/16/11,0
137,5/17/11,0
138,5/18/11,0
139,5/19/11,0
140,5/20/11,0
141,5/21/11,0
142,5/22/11,0
143,5/23/11,0
144,5/24/11,0
145,5/25/11,0
146,5/26/11,0
147,5/27/11,0
148,5/28/11,0
149,5/29/11,0
150,5/30/11,0
151,5/31/11,0
152,6/1/11,0
153,6/2/11,0
154,6/3/11,0
155,6/4/11,0
156,6/5/11,0
157,6/6/11,0
158,6/7/11,0
159,6/8/11,0
160,6/9/11,0
161,6/10/11,0
162,6/11/11,0
163,6/12/11,0
164,6/13/11,0
165,6/14/11,0
166,6/15/11,0
167,6/16/11,0
168,6/17/11,0
169,6/18/11,0
170,6/19/11,0
171,6/20/11,0
172,6/21/11,0
173,6/22/11,0
174,6/23/11,0
175,6/24/11,0
176,6/25/11,0
177,6/26/11,0
178,6/27/11,0
179,6/28/11,0
180,6/29/11,0
181,6/30/11,0
182,7/1/11,0
183,7/2/11,0
184,7/3/11,0
185,7/4/11,0
186,7/5/11,0
187,7/6/11,0
188,7/7/11,0
189,7/8/11,0
190,7/9/11,0
191,7/10/11,0
192,7/11/11,0
193,7/12/11,0
194,7/13/11,0
195,7/14/11,0
196,7/15/11,0
197,7/16/11,0
198,7/17/11,0
199,7/18/11,0
200,7/19/11,0
201,7/20/11,0
202,7/21/11,0
203,7/22/11,0
204,7/23/11,0
205,7/24/11,0
206,7/25/11,0
207,7/26/11,0
208,7/27/11,0
209,7/28/11,0
210,7/29/11,0
211,7/30/11,0
212,7/31/11,0
213,8/1/11,0
214,8/2/11,0
215,8/3/11,0
216,8/4/11,0
217,8/5/11,0
218,8/6/11,0
219,8/7/11,0
220,8/8/11,0
221,8/9/11,0
222,8/10/11,0
223,8/11/11,0
224,8/12/11,0
225,8/13/11,0
226,8/14/11,0
227,8/15/11,0
228,8/16/11,0
229,8/17/11,0
230,8/18/11,0
231,8/19/11,0
232,8/20/11,0
233,8/21/11,0
234,8/22/11,0
235,8/23/11,0
236,8/24/11,0
237,8/25/11,0
238,8/26/11,0
239,8/27/11,0
240,8/28/11,0
241,8/29/11,0
242,8/30/11,0
243,8/31/11,0
244,9/1/11,0
245,9/2/11,0
246,9/3/11,0
247,9/4/11,0
248,9/5/11,0
249,9/6/11,0
250,9/7/11,0
251,9/8/11,10
252,9/9/11,14
253,9/10/11,10
254,9/11/11,8
255,9/12/11,95
256,9/13/11,44
257,9/14/11,15
258,9/15/11,15
259,9/16/11,34
260,9/17/11,26
261,9/18/11,17
262,9/19/11,63
263,9/20/11,35
264,9/21/11,45
265,9/22/11,50
266,9/23/11,82
267,9/24/11,35
268,9/25/11,29
269,9/26/11,52
